v,d,len_voxel,Dt,trajectories
1.9565612971898916,0.32420143588463946,1.0,10.0,100000.0
4.292379690366326,0.7209693075899366,1.0,10.0,100000.0
3.0784095557504045,0.9384323455288743,1.0,10.0,100000.0
3.590061147311859,0.4642160856490214,1.0,10.0,100000.0
0.9974105674648803,0.70671720797359,1.0,10.0,100000.0
3.269293696768618,0.8018284078871347,1.0,10.0,100000.0
2.480498594494506,0.4994933358137901,1.0,10.0,100000.0
2.2798645828308253,0.9871380884952994,1.0,10.0,100000.0
3.3169744838781936,0.71706093334779,1.0,10.0,100000.0
1.225440701488958,0.23541260564896316,1.0,10.0,100000.0
1.5991508997653259,0.20492043659679715,1.0,10.0,100000.0
