v,d,len_voxel,Dt,trajectories
3.723681895885794,0.7980558288544748,1.0,10.0,100000.0
2.0095058022993193,0.8415805691086629,1.0,10.0,100000.0
0.37891437431375463,0.794309614226836,1.0,10.0,100000.0
3.8473444420933687,0.7812762587739897,1.0,10.0,100000.0
1.2598998269401762,0.7926234494168334,1.0,10.0,100000.0
4.956008198425601,0.6242694538768898,1.0,10.0,100000.0
1.2422488690731637,0.4487321270735951,1.0,10.0,100000.0
1.8805570153185125,0.6829736337085022,1.0,10.0,100000.0
0.34582416533749827,0.45919769801560495,1.0,10.0,100000.0
0.5209170597667501,0.6241572401454785,1.0,10.0,100000.0
4.2681194545594705,0.7814504593564768,1.0,10.0,100000.0
0.5361503861274575,0.48752390401498213,1.0,10.0,100000.0
4.68070703396983,0.6816848006362632,1.0,10.0,100000.0
2.284509430483397,0.7170709573542633,1.0,10.0,100000.0
0.7624457693858799,0.20860542305106677,1.0,10.0,100000.0
2.0336942280783274,0.47970675646198235,1.0,10.0,100000.0
