v,d,len_voxel,Dt,trajectories
3.9115871470498655,0.5780386373871933,1.0,10.0,100000.0
4.990102630956291,0.7038468565397289,1.0,10.0,100000.0
0.4353084111679051,0.4864345209642047,1.0,10.0,100000.0
2.243143704683548,0.9522763763002544,1.0,10.0,100000.0
1.5221665305321397,0.848201001350406,1.0,10.0,100000.0
1.9140645824122726,0.4834374599436315,1.0,10.0,100000.0
4.019436338311403,0.7530019210234398,1.0,10.0,100000.0
4.697614403532118,0.8738484658704693,1.0,10.0,100000.0
1.443307289871576,0.636379646922814,1.0,10.0,100000.0
0.972526657422148,0.23002483718154565,1.0,10.0,100000.0
1.0596981090230118,0.2037950228965144,1.0,10.0,100000.0
1.8813155387828506,0.2941939190332883,1.0,10.0,100000.0
0.9389297942031694,0.09796903821718672,1.0,10.0,100000.0
3.633388477357913,0.3820174529736604,1.0,10.0,100000.0
0.013996901436472697,0.8385583594743522,1.0,10.0,100000.0
3.8892712669939957,0.9868186968548776,1.0,10.0,100000.0
