v,d,len_voxel,Dt,trajectories
0.28656975872363266,0.10822111434405524,1.0,10.0,100000.0
2.4362957043700586,0.7660851100340684,1.0,10.0,100000.0
3.1659526591025933,0.6829279993504664,1.0,10.0,100000.0
3.960168301710759,0.7737225938968535,1.0,10.0,100000.0
1.670452705187968,0.8188033021850991,1.0,10.0,100000.0
2.1471514811711367,0.6715976914343094,1.0,10.0,100000.0
1.8964895697716844,0.32094990437760096,1.0,10.0,100000.0
4.9446272310443415,0.5837081296649287,1.0,10.0,100000.0
1.6223662802237127,0.6219940082151776,1.0,10.0,100000.0
3.9059648838167425,0.5316227989823112,1.0,10.0,100000.0
0.33883655984461747,0.3186897452082422,1.0,10.0,100000.0
4.473804896069131,0.39627812504934656,1.0,10.0,100000.0
1.5114159581660536,0.3778084739039467,1.0,10.0,100000.0
0.38652953926767264,0.5137255414067765,1.0,10.0,100000.0
4.117692662185039,0.49733897375945224,1.0,10.0,100000.0
3.5776400310749787,0.45820142652314977,1.0,10.0,100000.0
